0.88452,0.64978,0.058768,0.087196,1,0.98972,0.19281,0.13008,1,0.87539,0.94336,0.3538,0.78216,0.36327,0.69402,0.2975,0.83238,NaN
0.85259,0.61818,0.095478,0.088069,0.96304,0.99244,0.1745,0.1416,0.92089,0.84571,0.95747,0.29359,0.7618,0.31262,0.68367,0.19152,0.78944,NaN
0.87296,0.61388,0.12072,0.075739,0.93768,0.98082,0.15564,0.13146,0.88665,0.84121,0.96897,0.29996,0.76651,0.28011,0.71227,0.21638,0.79904,NaN
0.86201,0.61523,0.13811,0.080134,0.8975,0.97382,0.14983,0.12184,0.86973,0.83,0.96175,0.28609,0.75562,0.2793,0.76007,0.19964,0.81253,NaN
0.84498,0.59969,0.14242,0.08816,0.862,0.97079,0.14769,0.12107,0.84865,0.82477,0.95624,0.27032,0.74053,0.27583,0.79672,0.18618,0.80569,NaN
0.82487,0.58751,0.15468,0.093702,0.82905,0.96718,0.13824,0.116,0.82723,0.81515,0.95566,0.25749,0.72357,0.26939,0.82203,0.1691,0.77297,NaN
0.8018,0.57452,0.14901,0.097973,0.80071,0.96129,0.12661,0.10989,0.81657,0.80149,0.94774,0.26105,0.71859,0.26815,0.85077,0.18788,0.78992,NaN
0.78061,0.57115,0.15364,0.11638,0.76381,0.95782,0.1216,0.1051,0.81282,0.7905,0.94379,0.25193,0.70186,0.27675,0.88391,0.17306,0.77531,NaN
0.7421,0.55862,0.13923,0.126,0.73243,0.95505,0.11578,0.096753,0.8035,0.7695,0.93422,0.23684,0.69103,0.29026,0.91487,0.17927,0.796,NaN
0.70356,0.54594,0.14383,0.14201,0.70413,0.95691,0.11564,0.094062,0.80154,0.73998,0.93092,0.22964,0.67839,0.29233,0.93458,0.1514,0.78879,NaN
0.67079,0.53177,0.14192,0.16005,0.689,0.9551,0.10796,0.090965,0.7941,0.70934,0.92925,0.228,0.67093,0.28773,0.94076,0.13077,0.78746,NaN
0.62544,0.5133,0.14053,0.17075,0.65074,0.94641,0.10313,0.088356,0.78572,0.68052,0.93275,0.23818,0.682,0.29019,0.94409,0.12639,0.75967,NaN
0.58923,0.50358,0.14215,0.18265,0.64075,0.94171,0.10059,0.077744,0.78058,0.64396,0.93832,0.24856,0.68912,0.2948,0.94174,0.11685,0.74847,NaN
0.5542,0.49908,0.13879,0.18986,0.62205,0.93795,0.099077,0.079375,0.77302,0.61625,0.94611,0.26063,0.70576,0.28603,0.93263,0.12756,0.74709,NaN
0.52703,0.49104,0.13038,0.20799,0.59357,0.92776,0.10282,0.077734,0.76302,0.5811,0.94623,0.2716,0.72396,0.28424,0.92135,0.13018,0.76844,NaN
0.4996,0.50032,0.12851,0.2215,0.57725,0.92196,0.11747,0.07786,0.74757,0.55242,0.9523,0.27537,0.73291,0.28594,0.90611,0.13518,0.75782,NaN
0.4697,0.48271,0.13425,0.22528,0.57165,0.9163,0.13123,0.086749,0.72938,0.52783,0.95819,0.29377,0.74539,0.26952,0.88633,0.11863,0.75223,NaN
0.445,0.48243,0.14956,0.23239,0.56335,0.90871,0.15401,0.093512,0.71389,0.52048,0.95768,0.30384,0.75154,0.25871,0.86855,0.085951,0.74507,NaN
0.42816,0.47689,0.15739,0.23913,0.56521,0.9012,0.17965,0.10119,0.70741,0.5193,0.94605,0.30909,0.7523,0.24467,0.85371,0.10436,0.72433,NaN
