0.68646,0.26408,0.61451,0.0089556,0.69835,0.55773,0.36422,0.57063
0.69103,0.27289,0.63526,-0.0076541,0.68413,0.48316,0.36246,0.52785
0.68245,0.275,0.661,0.0059281,0.67599,0.44776,0.35266,0.52687
0.64322,0.26498,0.67865,0.014169,0.6696,0.46745,0.33589,0.52713
0.59772,0.26074,0.67798,0.030196,0.66807,0.49097,0.3279,0.50566
0.55885,0.25456,0.68345,0.0375,0.65925,0.45677,0.31922,0.47999
0.51956,0.24886,0.69122,0.05353,0.64626,0.44077,0.30861,0.46165
0.47645,0.2433,0.70467,0.063992,0.63619,0.46042,0.30841,0.43248
0.43172,0.24222,0.71334,0.074689,0.62113,0.45235,0.31218,0.40003
0.38435,0.24125,0.73828,0.088105,0.60392,0.46262,0.31669,0.35786
0.3432,0.24262,0.75752,0.09637,0.58555,0.41952,0.31525,0.31522
0.2992,0.24684,0.78428,0.10404,0.56926,0.40971,0.32177,0.26883
0.26793,0.24656,0.8187,0.11729,0.54734,0.40872,0.32504,0.22701
0.24533,0.24754,0.84357,0.11147,0.5282,0.36542,0.32361,0.195
0.23174,0.25051,0.87538,0.11543,0.50586,0.37647,0.32314,0.16541
0.20704,0.25376,0.90213,0.12001,0.48915,0.35385,0.33012,0.1352
0.18785,0.25751,0.92711,0.11721,0.46692,0.34364,0.33058,0.10895
0.17095,0.25785,0.94467,0.11881,0.44401,0.3416,0.32427,0.08727
0.15796,0.2576,0.94994,0.12825,0.42307,0.33245,0.31752,0.075989
0.15038,0.25902,0.96147,0.13569,0.40269,0.33251,0.31896,0.066046
0.14712,0.26374,0.95005,0.15233,0.36813,0.32045,0.3189,0.058131
0.13727,0.27154,0.93621,0.16704,0.33656,0.31798,0.31866,0.046985
0.12829,0.2774,0.92602,0.18209,0.30572,0.31242,0.31916,0.036629
0.1224,0.28609,0.90525,0.20409,0.27905,0.30259,0.32038,0.02875
0.12658,0.2903,0.87308,0.22918,0.24874,0.31644,0.31345,0.022217
0.12762,0.29101,0.8395,0.26467,0.22986,0.30264,0.30705,0.019605
0.12692,0.28955,0.80367,0.28886,0.21031,0.3014,0.3035,0.017745
0.12818,0.2868,0.76469,0.30957,0.19662,0.30838,0.30142,0.016952
0.12823,0.28085,0.7171,0.34154,0.17858,0.30929,0.29689,0.015663
0.14018,0.27266,0.68031,0.35471,0.17319,0.32074,0.30087,0.020305
0.14739,0.25877,0.64161,0.36519,0.17122,0.29746,0.29847,0.026835
0.15374,0.24803,0.60586,0.38406,0.16942,0.30261,0.30623,0.033657
0.15837,0.23378,0.57354,0.39164,0.16755,0.31193,0.31022,0.046617
0.16193,0.21988,0.5528,0.38614,0.16581,0.31175,0.32228,0.059825
0.16544,0.21161,0.52834,0.37773,0.15312,0.3298,0.31765,0.078066
0.17586,0.20569,0.50811,0.3766,0.15072,0.32758,0.32062,0.091805
0.17615,0.19831,0.49647,0.37053,0.14048,0.30432,0.32282,0.099781
0.18526,0.19497,0.48912,0.36924,0.13666,0.31029,0.32513,0.10958
