87,238.8563,117995,126.475,349,124.31,99.856,36.5519,494
88,239.0726,118580,125.7125,365,124.02,99.4851,36.7601,496
89,241.3662,119959,124.975,372,123.83,99.8054,36.8358,497
90,242.5313,120053,125.7875,355,122.79,99.7688,36.7431,495
91,243.5133,119078,126.15,389,124.47,99.8011,36.8757,489
92,245.0752,120577,125.0125,380,122.73,99.6083,37.0274,492
93,244.9375,121489,127.05,376,124.63,99.6615,36.8582,496
94,244.4562,120028,125.4625,401,123.3,99.3613,36.7328,491
95,243.224,119423,125.9875,352,123.22,99.6532,36.6307,491
96,241.049,118114,127.0375,358,125.19,99.7329,36.6847,490
97,239.1382,117656,127.15,356,125.18,99.7511,36.8501,492
98,238.8689,116568,125.4625,374,124.06,99.5469,36.8158,488
99,236.9113,117508,124.675,361,124,99.7566,36.8018,496
100,235.3567,117443,126.0125,364,124.27,99.6087,36.6704,499
101,233.1022,116318,127.2125,335,123.68,99.9004,36.8656,499
102,231.8586,113147,125.425,350,123.11,99.3659,37.0301,488
103,228.833,112357,125.7625,342,123.72,99.6695,36.4604,491
104,227.3545,110949,127.5375,327,125.07,99.5762,36.9316,488
105,225.5471,110067,126.625,336,125.25,99.3286,36.5016,488
106,224.2189,111661,125.25,336,123.9,99.5903,36.8724,498
107,223.4669,111510,124.3875,315,123.74,99.6409,36.7074,499
108,222.8327,111862,126.0875,315,123.31,99.8637,36.6661,502
109,224.1833,110074,125.6625,335,122.89,99.645,36.7666,491
110,222.3046,110930,126.425,323,124.94,99.7138,36.7607,499
111,223.1093,110216,124.7875,335,122.36,99.8689,36.8597,494
112,221.2247,109285,125.1,320,124.09,100.016,37.0564,494
113,220.7627,108836,124.225,325,123.54,99.4986,36.9795,493
114,220.0588,108489,125.025,314,123.08,99.7016,37.0723,493
115,217.5449,106597,126.225,314,124.14,99.3994,36.9103,490
116,219.4633,107537,125.2875,307,123.04,99.3102,36.8562,490
117,220.5317,107840,126.9125,307,124.88,99.7457,36.766,489
118,221.4959,108533,126.075,326,123.4,99.482,36.8021,490
119,221.5706,111450,125.05,315,122.93,100.2227,37.2865,503
120,223.5445,110431,124.825,342,124.36,99.7882,37.117,494
121,223.8608,112602,126.1375,328,123.97,100.0414,36.8963,503
122,225.7014,110368,125.1625,317,124.24,99.8123,37.0662,489
123,228.2699,111624,127.6875,338,124.54,99.974,37.048,489
