genotype,datelist,animal,variable,fram,lens
Nd,20160825c1v1,4,V175,9054,6
Nd,20160825c1v1,4,V181,9099,6
Nd,20160825c1v1,4,V183,9271,66
Nd,20160825c1v1,4,V189,9575,209
Nd,20160825c1v1,4,V191,9732,73
Nd,20160825c1v1,4,V193,9898,123
Nd,20160825c1v1,4,V195,10712,178
Nd,20160825c1v1,4,V196,10799,80
Nd,20160825c1v1,5,V15,905,5
Nd,20160825c1v1,5,V29,1282,8
Nd,20160825c1v1,5,V55,1769,5
Nd,20160825c1v1,5,V63,1851,10
Nd,20160825c1v1,5,V72,1939,7
Nd,20160825c1v1,5,V80,2025,5
Nd,20160825c1v1,5,V82,2041,7
Nd,20160825c1v1,5,V89,2114,5
Nd,20160825c1v1,5,V100,2264,8
Nd,20160825c1v1,5,V101,2294,27
Nd,20160825c1v1,5,V103,2319,9
Nd,20160825c1v1,5,V106,2398,6
Nd,20160825c1v1,5,V120,2867,6
Nd,20160825c1v1,5,V126,10799,614
Nd,20160825c1v1,6,V1,343,342
Nd,20160825c1v1,6,V2,367,6
Nd,20160825c1v1,6,V15,2645,19
Nd,20160825c1v1,6,V18,2683,28
Nd,20160825c1v1,6,V19,2698,13
Nd,20160825c1v1,6,V21,2716,11
Nd,20160825c1v1,6,V22,2738,20
Nd,20160825c1v1,6,V23,2755,10
Nd,20160825c1v1,6,V25,2772,10
Nd,20160825c1v1,6,V26,2782,8
Nd,20160825c1v1,6,V29,2801,6
Nd,20160825c1v1,6,V32,2824,10
Nd,20160825c1v1,6,V35,2839,7
Nd,20160825c1v1,6,V36,2847,5
Nd,20160825c1v1,6,V37,2861,10
Nd,20160825c1v1,6,V38,2903,15
Nd,20160825c1v1,6,V39,2915,8
Nd,20160825c1v1,6,V56,3077,7
Nd,20160825c1v1,6,V57,3236,157
Nd,20160825c1v1,6,V58,3570,9
Nd,20160825c1v1,6,V59,3971,169
Nd,20160825c1v1,6,V61,8042,4035
Nd,20160825c1v1,6,V62,8089,7
Nd,20160825c1v1,6,V68,8195,6
Nd,20160825c1v1,6,V70,8323,9
Nd,20160825c1v1,6,V71,8333,6
Nd,20160825c1v1,6,V72,8342,7
Nd,20160825c1v1,6,V73,8357,5
Nd,20160825c1v1,6,V74,8371,12
Nd,20160825c1v1,6,V75,8378,5
Nd,20160825c1v1,6,V83,8432,6
Nd,20160825c1v1,6,V87,8461,13
Nd,20160825c1v1,6,V90,8490,14
Nd,20160825c1v1,6,V91,8502,9
Nd,20160825c1v1,6,V93,8514,5
Nd,20160825c1v1,6,V95,8528,6
Nd,20160825c1v1,6,V99,8557,5
Nd,20160825c1v1,6,V114,8749,6
Nd,20160825c1v1,6,V123,8860,5
Nd,20160825c1v1,6,V129,8931,5
Nd,20160825c1v1,6,V131,8942,5
Nd,20160825c1v1,6,V132,8955,11
Nd,20160825c1v1,6,V141,9028,5
Nd,20160825c1v1,6,V152,9147,5
Nd,20160825c1v1,6,V154,9166,12
Nd,20160825c1v1,6,V159,9206,9
Nd,20160825c1v1,6,V162,9228,6
Nd,20160825c1v1,6,V164,9307,54
Nd,20160825c1v1,6,V165,9368,16
Nd,20160825c1v1,6,V167,9939,35
Nd,20160825c1v1,6,V170,10023,14
Nd,20160825c1v1,6,V176,10084,5
Nd,20160825c1v1,6,V177,10138,36
Nd,20160825c1v1,6,V178,10170,13
Nd,20160825c1v1,6,V179,10405,212
Nd,20160825c1v1,6,V180,10421,7
Nd,20160825c1v1,6,V181,10444,6
Nd,20160825c1v1,6,V191,10730,5
Nd,20160825c1v1,6,V193,10767,9
Nd,20160825c1v1,6,V195,10799,13
Sd,20160825c1v2,1,V2,1330,15
Sd,20160825c1v2,1,V3,1394,41
Sd,20160825c1v2,1,V4,1433,24
Sd,20160825c1v2,1,V6,1454,12
Sd,20160825c1v2,1,V7,1534,78
Sd,20160825c1v2,1,V8,1542,6
Sd,20160825c1v2,1,V9,1552,8
Sd,20160825c1v2,1,V11,1604,45
Sd,20160825c1v2,1,V13,1625,10
Sd,20160825c1v2,1,V18,1677,21
Sd,20160825c1v2,1,V22,1706,13
Sd,20160825c1v2,1,V25,1731,5
Sd,20160825c1v2,1,V26,1745,5
Sd,20160825c1v2,1,V29,1763,5
Sd,20160825c1v2,1,V38,2564,29
Sd,20160825c1v2,1,V40,2595,25
Sd,20160825c1v2,1,V41,2649,52
Sd,20160825c1v2,1,V43,2661,7
Sd,20160825c1v2,1,V44,2685,13
Sd,20160825c1v2,1,V46,2717,27
Sd,20160825c1v2,1,V49,2735,6
Sd,20160825c1v2,1,V50,2757,20
Sd,20160825c1v2,1,V52,2771,9
Sd,20160825c1v2,1,V53,2788,15
Sd,20160825c1v2,1,V56,2838,30
Sd,20160825c1v2,1,V58,2860,8
Sd,20160825c1v2,1,V63,2889,6
Sd,20160825c1v2,1,V64,2907,16
Sd,20160825c1v2,1,V70,2944,7
Sd,20160825c1v2,1,V72,2968,7
Sd,20160825c1v2,1,V74,2983,10
Sd,20160825c1v2,1,V75,3006,21
Sd,20160825c1v2,1,V77,3032,17
Sd,20160825c1v2,1,V79,3057,14
Sd,20160825c1v2,1,V80,3071,11
Sd,20160825c1v2,1,V81,3083,10
Sd,20160825c1v2,1,V82,3239,151
Sd,20160825c1v2,1,V84,3253,7
Sd,20160825c1v2,1,V85,3261,6
Sd,20160825c1v2,1,V86,3459,196
Sd,20160825c1v2,1,V88,3473,5
Sd,20160825c1v2,1,V89,3484,8
Sd,20160825c1v2,1,V91,3504,10
Sd,20160825c1v2,1,V93,3526,14
Sd,20160825c1v2,1,V94,3546,16
Sd,20160825c1v2,1,V98,3571,5
Sd,20160825c1v2,1,V113,4001,112
Sd,20160825c1v2,1,V114,4057,11
Sd,20160825c1v2,1,V115,4076,16
Sd,20160825c1v2,1,V116,4153,9
Sd,20160825c1v2,1,V118,4227,12
Sd,20160825c1v2,1,V120,4286,13
Sd,20160825c1v2,1,V121,4294,6
Sd,20160825c1v2,1,V122,4347,13
Sd,20160825c1v2,1,V123,4368,5
Sd,20160825c1v2,1,V124,4493,118
Sd,20160825c1v2,1,V126,4881,6
Sd,20160825c1v2,1,V130,5305,5
Sd,20160825c1v2,1,V132,10798,4731
Sd,20160825c1v2,2,V6,1373,11
Sd,20160825c1v2,2,V7,1401,9
Sd,20160825c1v2,2,V8,1471,54
Sd,20160825c1v2,2,V10,1528,52
Sd,20160825c1v2,2,V11,1540,10
Sd,20160825c1v2,2,V13,1749,13
Sd,20160825c1v2,2,V14,1788,27
Sd,20160825c1v2,2,V17,2097,6
Sd,20160825c1v2,2,V20,2120,8
Sd,20160825c1v2,2,V22,2153,8
Sd,20160825c1v2,2,V23,2164,9
Sd,20160825c1v2,2,V24,2171,5
Sd,20160825c1v2,2,V25,2182,7
Sd,20160825c1v2,2,V32,2240,6
Sd,20160825c1v2,2,V34,2443,72
Sd,20160825c1v2,2,V48,3318,7
Sd,20160825c1v2,2,V49,3339,6
Sd,20160825c1v2,2,V53,3610,10
Sd,20160825c1v2,2,V55,3650,5
Sd,20160825c1v2,2,V58,3830,7
Sd,20160825c1v2,2,V59,3856,19
Sd,20160825c1v2,2,V60,3884,12
Sd,20160825c1v2,2,V64,4072,10
Sd,20160825c1v2,2,V65,4161,9
Sd,20160825c1v2,2,V67,4213,15
Sd,20160825c1v2,2,V73,4565,41
Sd,20160825c1v2,2,V74,4583,11
Sd,20160825c1v2,2,V76,4597,7
Sd,20160825c1v2,2,V77,4607,6
Sd,20160825c1v2,2,V78,4622,13
Sd,20160825c1v2,2,V85,4956,5
Sd,20160825c1v2,2,V87,4972,9
Sd,20160825c1v2,2,V96,5020,8
