notes,expt,transfected,added,mM,a,b,c,d,e,f,g,h,i,j,k,l
,str,noreceptor,blank,0.0390625,1.624,1.36,1.82,1.68,,,,,,,,
,str,noreceptor,blank,0.01953125,1.746,1.475,1.637,1.68,,,,,,,,
,str,noreceptor,blank,0.00976563,1.604,1.406,1.826,1.648,,,,,,,,
,str,noreceptor,blank,0.00488281,1.347,1.248,1.419,1.515,,,,,,,,
,npy,noreceptor,FMRF,160,1.41,1.244,1.498,1.357,,,,,,,,
,npy,noreceptor,FMRF,80,1.351,1.306,1.691,1.645,,,,,,,,
,npy,noreceptor,FMRF,40,1.46,1.484,1.668,1.642,,,,,,,,
,npy,noreceptor,FMRF,20,1.481,1.237,1.676,1.441,,,,,,,,
,npy,noreceptor,FMRF,10,1.467,1.4,1.967,1.801,,,,,,,,
,npy,noreceptor,FMRF,5,1.34,1.207,1.672,1.619,,,,,,,,
,npy,noreceptor,FMRF,2.5,1.463,1.265,1.918,1.662,,,,,,,,
,npy,noreceptor,FMRF,1.25,1.36,1.192,1.58,2.687,,,,,,,,
,npy,noreceptor,FMRF,0.625,1.387,1.325,1.626,3.496,,,,,,,,
,npy,noreceptor,FMRF,0.3125,1.434,1.248,1.658,1.622,,,,,,,,
,npy,noreceptor,FMRF,0.15625,1.45,1.313,1.66,1.78,,,,,,,,
,npy,noreceptor,FMRF,0.078125,1.562,1.289,1.547,1.821,,,,,,,,
,npy,noreceptor,FMRF,0.0390625,1.428,1.335,1.631,1.614,,,,,,,,
,npy,noreceptor,FMRF,0.01953125,1.434,1.343,1.594,1.658,,,,,,,,
,npy,noreceptor,FMRF,0.00976563,1.482,1.222,1.638,1.579,,,,,,,,
,npy,noreceptor,FMRF,0.00488281,1.433,1.209,1.494,1.481,,,,,,,,
,npy,noreceptor,DEET,160,5.095,4.054,3.275,4.157,,,,,,,,
,npy,noreceptor,DEET,80,1.915,1.232,2.178,1.988,,,,,,,,
,npy,noreceptor,DEET,40,1.345,1.323,1.628,1.616,,,,,,,,
,npy,noreceptor,DEET,20,1.257,1.171,1.306,1.273,,,,,,,,
,npy,noreceptor,DEET,10,1.209,1.123,1.365,1.312,,,,,,,,
,npy,noreceptor,DEET,5,1.255,1.157,1.352,1.387,,,,,,,,
,npy,noreceptor,DEET,2.5,1.357,1.212,1.496,1.625,,,,,,,,
,npy,noreceptor,DEET,1.25,1.401,1.204,1.373,1.454,,,,,,,,
,npy,noreceptor,DEET,0.625,1.422,1.249,1.419,1.622,,,,,,,,
,npy,noreceptor,DEET,0.3125,1.47,1.188,1.386,1.515,,,,,,,,
,npy,noreceptor,DEET,0.15625,1.577,1.254,1.508,1.636,,,,,,,,
,npy,noreceptor,DEET,0.078125,1.476,1.184,1.424,1.353,,,,,,,,
,npy,noreceptor,DEET,0.0390625,1.364,1.267,1.709,1.551,,,,,,,,
,npy,noreceptor,DEET,0.01953125,1.455,1.466,1.598,1.589,,,,,,,,
,npy,noreceptor,DEET,0.00976563,1.269,1.22,1.64,1.429,,,,,,,,
,npy,noreceptor,DEET,0.00488281,1.344,1.228,1.404,1.472,,,,,,,,
,npy,noreceptor,DEETFMRF,160,4.221,4.416,3.971,4.628,,,,,,,,
,npy,noreceptor,DEETFMRF,80,1.635,1.495,1.688,1.665,,,,,,,,
,npy,noreceptor,DEETFMRF,40,1.311,1.147,1.333,1.302,,,,,,,,
,npy,noreceptor,DEETFMRF,20,1.309,1.184,1.39,1.268,,,,,,,,
,npy,noreceptor,DEETFMRF,10,1.341,1.248,1.451,1.421,,,,,,,,
,npy,noreceptor,DEETFMRF,5,1.331,1.25,1.557,1.538,,,,,,,,
,npy,noreceptor,DEETFMRF,2.5,1.46,1.249,1.627,1.455,,,,,,,,
,npy,noreceptor,DEETFMRF,1.25,1.551,1.297,1.727,1.423,,,,,,,,
,npy,noreceptor,DEETFMRF,0.625,1.535,1.25,1.606,1.559,,,,,,,,
,npy,noreceptor,DEETFMRF,0.3125,1.521,1.31,1.683,1.691,,,,,,,,
,npy,noreceptor,DEETFMRF,0.15625,1.588,1.33,1.694,1.697,,,,,,,,
,npy,noreceptor,DEETFMRF,0.078125,1.504,1.347,1.701,1.683,,,,,,,,
,npy,noreceptor,DEETFMRF,0.0390625,1.485,1.485,1.727,1.643,,,,,,,,
,npy,noreceptor,DEETFMRF,0.01953125,1.545,1.475,1.817,1.645,,,,,,,,
,npy,noreceptor,DEETFMRF,0.00976563,1.461,1.324,1.612,1.564,,,,,,,,
