"","genotype","datelist","animal","variable","fram","lens","expt"
"1","Nd","20160825c1v1",1,"V1",7,6,"iaa"
"2","Nd","20160825c1v1",1,"V3",35,17,"iaa"
"3","Nd","20160825c1v1",1,"V4",49,7,"iaa"
"4","Nd","20160825c1v1",1,"V8",81,10,"iaa"
"5","Nd","20160825c1v1",1,"V11",107,10,"iaa"
"6","Nd","20160825c1v1",1,"V14",142,20,"iaa"
"7","Nd","20160825c1v1",1,"V15",149,5,"iaa"
"8","Nd","20160825c1v1",1,"V17",171,5,"iaa"
"9","Nd","20160825c1v1",1,"V19",191,9,"iaa"
"10","Nd","20160825c1v1",1,"V22",226,5,"iaa"
"11","Nd","20160825c1v1",1,"V25",278,6,"iaa"
"12","Nd","20160825c1v1",1,"V30",331,9,"iaa"
"13","Nd","20160825c1v1",1,"V31",340,5,"iaa"
"14","Nd","20160825c1v1",1,"V42",788,13,"iaa"
"15","Nd","20160825c1v1",1,"V52",2422,5,"iaa"
"16","Nd","20160825c1v1",1,"V56",2678,5,"iaa"
"17","Nd","20160825c1v1",1,"V72",3607,9,"iaa"
"18","Nd","20160825c1v1",1,"V73",3668,5,"iaa"
"19","Nd","20160825c1v1",1,"V79",4010,11,"iaa"
"20","Nd","20160825c1v1",1,"V85",4351,6,"iaa"
"21","Nd","20160825c1v1",1,"V90",4410,6,"iaa"
"22","Nd","20160825c1v1",1,"V91",4438,5,"iaa"
"23","Nd","20160825c1v1",1,"V93",4578,7,"iaa"
"24","Nd","20160825c1v1",1,"V95",10799,6145,"iaa"
"25","Nd","20160825c1v1",2,"V1",16,15,"iaa"
"26","Nd","20160825c1v1",2,"V8",57,7,"iaa"
"27","Nd","20160825c1v1",2,"V9",67,8,"iaa"
"28","Nd","20160825c1v1",2,"V10",80,9,"iaa"
"29","Nd","20160825c1v1",2,"V11",89,6,"iaa"
"30","Nd","20160825c1v1",2,"V12",96,5,"iaa"
"31","Nd","20160825c1v1",2,"V15",117,6,"iaa"
"32","Nd","20160825c1v1",2,"V16",128,7,"iaa"
"33","Nd","20160825c1v1",2,"V19",147,8,"iaa"
"34","Nd","20160825c1v1",2,"V20",160,6,"iaa"
"35","Nd","20160825c1v1",2,"V21",179,17,"iaa"
"36","Nd","20160825c1v1",2,"V24",216,13,"iaa"
"37","Nd","20160825c1v1",2,"V25",230,8,"iaa"
"38","Nd","20160825c1v1",2,"V26",257,11,"iaa"
"39","Nd","20160825c1v1",2,"V27",315,9,"iaa"
"40","Nd","20160825c1v1",2,"V30",348,8,"iaa"
"41","Nd","20160825c1v1",2,"V40",1530,7,"iaa"
"42","Nd","20160825c1v1",2,"V59",3273,6,"iaa"
"43","Nd","20160825c1v1",2,"V62",3297,5,"iaa"
"44","Nd","20160825c1v1",2,"V64",3322,9,"iaa"
"45","Nd","20160825c1v1",2,"V70",3433,18,"iaa"
"46","Nd","20160825c1v1",2,"V71",3567,8,"iaa"
"47","Nd","20160825c1v1",2,"V73",3647,24,"iaa"
"48","Nd","20160825c1v1",2,"V74",3667,18,"iaa"
"49","Nd","20160825c1v1",2,"V76",3704,21,"iaa"
"50","Nd","20160825c1v1",2,"V77",3727,14,"iaa"
"51","Nd","20160825c1v1",2,"V80",3959,5,"iaa"
"52","Nd","20160825c1v1",2,"V83",4007,15,"iaa"
"53","Nd","20160825c1v1",2,"V87",4027,6,"iaa"
"54","Nd","20160825c1v1",2,"V95",4189,8,"iaa"
"55","Nd","20160825c1v1",2,"V99",4210,9,"iaa"
"56","Nd","20160825c1v1",2,"V102",4235,7,"iaa"
"57","Nd","20160825c1v1",2,"V107",4284,5,"iaa"
"58","Nd","20160825c1v1",2,"V108",4291,5,"iaa"
"59","Nd","20160825c1v1",2,"V109",4302,5,"iaa"
"60","Nd","20160825c1v1",2,"V110",4310,5,"iaa"
"61","Nd","20160825c1v1",2,"V114",4362,33,"iaa"
"62","Nd","20160825c1v1",2,"V115",4403,39,"iaa"
"63","Nd","20160825c1v1",2,"V116",4432,27,"iaa"
"64","Nd","20160825c1v1",2,"V119",4451,7,"iaa"
"65","Nd","20160825c1v1",2,"V122",4470,7,"iaa"
"66","Nd","20160825c1v1",2,"V124",4492,6,"iaa"
"67","Nd","20160825c1v1",2,"V125",4500,6,"iaa"
"68","Nd","20160825c1v1",2,"V131",4576,10,"iaa"
"69","Nd","20160825c1v1",2,"V132",4588,6,"iaa"
"70","Nd","20160825c1v1",2,"V135",4603,5,"iaa"
"71","Nd","20160825c1v1",2,"V137",4617,9,"iaa"
"72","Nd","20160825c1v1",2,"V149",5088,13,"iaa"
"73","Nd","20160825c1v1",2,"V150",5663,357,"iaa"
"74","Nd","20160825c1v1",2,"V157",6016,10,"iaa"
"75","Nd","20160825c1v1",2,"V160",6045,5,"iaa"
"76","Nd","20160825c1v1",2,"V167",6148,6,"iaa"
"77","Nd","20160825c1v1",2,"V171",6210,7,"iaa"
"78","Nd","20160825c1v1",2,"V172",6247,8,"iaa"
"79","Nd","20160825c1v1",2,"V175",6288,10,"iaa"
"80","Nd","20160825c1v1",2,"V176",6333,5,"iaa"
"81","Nd","20160825c1v1",2,"V177",6343,5,"iaa"
"82","Nd","20160825c1v1",2,"V179",6359,5,"iaa"
"83","Nd","20160825c1v1",2,"V181",6384,5,"iaa"
"84","Nd","20160825c1v1",2,"V184",6419,7,"iaa"
"85","Nd","20160825c1v1",2,"V186",6443,18,"iaa"
"86","Nd","20160825c1v1",2,"V193",6488,8,"iaa"
"87","Nd","20160825c1v1",2,"V195",6529,8,"iaa"
"88","Nd","20160825c1v1",2,"V197",6551,6,"iaa"
"89","Nd","20160825c1v1",2,"V199",6628,17,"iaa"
"90","Nd","20160825c1v1",2,"V200",6951,315,"iaa"
"91","Nd","20160825c1v1",2,"V206",7215,12,"iaa"
"92","Nd","20160825c1v1",2,"V209",7348,20,"iaa"
"93","Nd","20160825c1v1",2,"V210",7386,31,"iaa"
"94","Nd","20160825c1v1",2,"V217",7493,5,"iaa"
"95","Nd","20160825c1v1",2,"V229",7761,5,"iaa"
"96","Nd","20160825c1v1",2,"V234",7808,17,"iaa"
"97","Nd","20160825c1v1",2,"V242",7871,10,"iaa"
"98","Nd","20160825c1v1",2,"V244",7884,6,"iaa"
"99","Nd","20160825c1v1",2,"V250",10799,2502,"iaa"
"100","Nd","20160825c1v1",3,"V8",280,6,"iaa"
"101","Nd","20160825c1v1",3,"V12",345,5,"iaa"
"102","Nd","20160825c1v1",3,"V17",396,5,"iaa"
"103","Nd","20160825c1v1",3,"V29",899,6,"iaa"
"104","Nd","20160825c1v1",3,"V40",1043,20,"iaa"
"105","Nd","20160825c1v1",3,"V50",1624,9,"iaa"
"106","Nd","20160825c1v1",3,"V53",1643,8,"iaa"
"107","Nd","20160825c1v1",3,"V56",1700,6,"iaa"
"108","Nd","20160825c1v1",3,"V72",2318,5,"iaa"
"109","Nd","20160825c1v1",3,"V73",10799,8475,"iaa"
"110","Nd","20160825c1v1",4,"V7",975,5,"iaa"
"111","Nd","20160825c1v1",4,"V13",1683,11,"iaa"
"112","Nd","20160825c1v1",4,"V15",2078,11,"iaa"
"113","Nd","20160825c1v1",4,"V19",2184,5,"iaa"
"114","Nd","20160825c1v1",4,"V22",2556,12,"iaa"
"115","Nd","20160825c1v1",4,"V30",2950,12,"iaa"
"116","Nd","20160825c1v1",4,"V31",2969,13,"iaa"
"117","Nd","20160825c1v1",4,"V33",4566,40,"iaa"
"118","Nd","20160825c1v1",4,"V48",5655,6,"iaa"
"119","Nd","20160825c1v1",4,"V56",5824,6,"iaa"
"120","Nd","20160825c1v1",4,"V68",6120,6,"iaa"
"121","Nd","20160825c1v1",4,"V73",6168,7,"iaa"
"122","Nd","20160825c1v1",4,"V77",7828,743,"iaa"
"123","Nd","20160825c1v1",4,"V79",8073,36,"iaa"
"124","Nd","20160825c1v1",4,"V81",8097,10,"iaa"
"125","Nd","20160825c1v1",4,"V84",8116,5,"iaa"
"126","Nd","20160825c1v1",4,"V87",8144,19,"iaa"
"127","Nd","20160825c1v1",4,"V90",8160,5,"iaa"
"128","Nd","20160825c1v1",4,"V91",8167,5,"iaa"
"129","Nd","20160825c1v1",4,"V92",8175,6,"iaa"
"130","Nd","20160825c1v1",4,"V94",8195,12,"iaa"
"131","Nd","20160825c1v1",4,"V97",8252,17,"iaa"
"132","Nd","20160825c1v1",4,"V104",8328,10,"iaa"
"133","Nd","20160825c1v1",4,"V106",8347,5,"iaa"
"134","Nd","20160825c1v1",4,"V110",8365,5,"iaa"
"135","Nd","20160825c1v1",4,"V113",8404,17,"iaa"
"136","Nd","20160825c1v1",4,"V121",8456,6,"iaa"
"137","Nd","20160825c1v1",4,"V127",8513,8,"iaa"
"138","Nd","20160825c1v1",4,"V132",8557,12,"iaa"
"139","Nd","20160825c1v1",4,"V138",8606,8,"iaa"
"140","Nd","20160825c1v1",4,"V140",8692,8,"iaa"
"141","Nd","20160825c1v1",4,"V147",8766,5,"iaa"
"142","Nd","20160825c1v1",4,"V149",8788,8,"iaa"
"143","Nd","20160825c1v1",4,"V155",8866,12,"iaa"
"144","Nd","20160825c1v1",4,"V157",8884,5,"iaa"
"145","Nd","20160825c1v1",4,"V158",8893,5,"iaa"
"146","Nd","20160825c1v1",4,"V161",8933,5,"iaa"
"147","Nd","20160825c1v1",4,"V175",9054,6,"iaa"
"148","Nd","20160825c1v1",4,"V181",9099,6,"iaa"
"149","Nd","20160825c1v1",4,"V183",9271,66,"iaa"
"150","Nd","20160825c1v1",4,"V189",9575,209,"iaa"
"151","Nd","20160825c1v1",4,"V191",9732,73,"iaa"
"152","Nd","20160825c1v1",4,"V193",9898,123,"iaa"
"153","Nd","20160825c1v1",4,"V195",10712,178,"iaa"
"154","Nd","20160825c1v1",4,"V196",10799,80,"iaa"
"155","Nd","20160825c1v1",5,"V15",905,5,"iaa"
"156","Nd","20160825c1v1",5,"V29",1282,8,"iaa"
"157","Nd","20160825c1v1",5,"V55",1769,5,"iaa"
"158","Nd","20160825c1v1",5,"V63",1851,10,"iaa"
"159","Nd","20160825c1v1",5,"V72",1939,7,"iaa"
"160","Nd","20160825c1v1",5,"V80",2025,5,"iaa"
"161","Nd","20160825c1v1",5,"V82",2041,7,"iaa"
"162","Nd","20160825c1v1",5,"V89",2114,5,"iaa"
"163","Nd","20160825c1v1",5,"V100",2264,8,"iaa"
"164","Nd","20160825c1v1",5,"V101",2294,27,"iaa"
"165","Nd","20160825c1v1",5,"V103",2319,9,"iaa"
"166","Nd","20160825c1v1",5,"V106",2398,6,"iaa"
"167","Nd","20160825c1v1",5,"V120",2867,6,"iaa"
"168","Nd","20160825c1v1",5,"V126",10799,614,"iaa"
"169","Nd","20160825c1v1",6,"V1",343,342,"iaa"
"170","Nd","20160825c1v1",6,"V2",367,6,"iaa"
"171","Nd","20160825c1v1",6,"V15",2645,19,"iaa"
"172","Nd","20160825c1v1",6,"V18",2683,28,"iaa"
"173","Nd","20160825c1v1",6,"V19",2698,13,"iaa"
"174","Nd","20160825c1v1",6,"V21",2716,11,"iaa"
"175","Nd","20160825c1v1",6,"V22",2738,20,"iaa"
"176","Nd","20160825c1v1",6,"V23",2755,10,"iaa"
"177","Nd","20160825c1v1",6,"V25",2772,10,"iaa"
"178","Nd","20160825c1v1",6,"V26",2782,8,"iaa"
"179","Nd","20160825c1v1",6,"V29",2801,6,"iaa"
"180","Nd","20160825c1v1",6,"V32",2824,10,"iaa"
"181","Nd","20160825c1v1",6,"V35",2839,7,"iaa"
"182","Nd","20160825c1v1",6,"V36",2847,5,"iaa"
"183","Nd","20160825c1v1",6,"V37",2861,10,"iaa"
"184","Nd","20160825c1v1",6,"V38",2903,15,"iaa"
"185","Nd","20160825c1v1",6,"V39",2915,8,"iaa"
"186","Nd","20160825c1v1",6,"V56",3077,7,"iaa"
"187","Nd","20160825c1v1",6,"V57",3236,157,"iaa"
"188","Nd","20160825c1v1",6,"V58",3570,9,"iaa"
"189","Nd","20160825c1v1",6,"V59",3971,169,"iaa"
"190","Nd","20160825c1v1",6,"V61",8042,4035,"iaa"
"191","Nd","20160825c1v1",6,"V62",8089,7,"iaa"
"192","Nd","20160825c1v1",6,"V68",8195,6,"iaa"
"193","Nd","20160825c1v1",6,"V70",8323,9,"iaa"
"194","Nd","20160825c1v1",6,"V71",8333,6,"iaa"
"195","Nd","20160825c1v1",6,"V72",8342,7,"iaa"
"196","Nd","20160825c1v1",6,"V73",8357,5,"iaa"
"197","Nd","20160825c1v1",6,"V74",8371,12,"iaa"
"198","Nd","20160825c1v1",6,"V75",8378,5,"iaa"
"199","Nd","20160825c1v1",6,"V83",8432,6,"iaa"
"200","Nd","20160825c1v1",6,"V87",8461,13,"iaa"
"201","Nd","20160825c1v1",6,"V90",8490,14,"iaa"
"202","Nd","20160825c1v1",6,"V91",8502,9,"iaa"
"203","Nd","20160825c1v1",6,"V93",8514,5,"iaa"
"204","Nd","20160825c1v1",6,"V95",8528,6,"iaa"
"205","Nd","20160825c1v1",6,"V99",8557,5,"iaa"
"206","Nd","20160825c1v1",6,"V114",8749,6,"iaa"
"207","Nd","20160825c1v1",6,"V123",8860,5,"iaa"
"208","Nd","20160825c1v1",6,"V129",8931,5,"iaa"
"209","Nd","20160825c1v1",6,"V131",8942,5,"iaa"
"210","Nd","20160825c1v1",6,"V132",8955,11,"iaa"
"211","Nd","20160825c1v1",6,"V141",9028,5,"iaa"
"212","Nd","20160825c1v1",6,"V152",9147,5,"iaa"
"213","Nd","20160825c1v1",6,"V154",9166,12,"iaa"
"214","Nd","20160825c1v1",6,"V159",9206,9,"iaa"
"215","Nd","20160825c1v1",6,"V162",9228,6,"iaa"
"216","Nd","20160825c1v1",6,"V164",9307,54,"iaa"
"217","Nd","20160825c1v1",6,"V165",9368,16,"iaa"
"218","Nd","20160825c1v1",6,"V167",9939,35,"iaa"
"219","Nd","20160825c1v1",6,"V170",10023,14,"iaa"
"220","Nd","20160825c1v1",6,"V176",10084,5,"iaa"
"221","Nd","20160825c1v1",6,"V177",10138,36,"iaa"
"222","Nd","20160825c1v1",6,"V178",10170,13,"iaa"
"223","Nd","20160825c1v1",6,"V179",10405,212,"iaa"
"224","Nd","20160825c1v1",6,"V180",10421,7,"iaa"
"225","Nd","20160825c1v1",6,"V181",10444,6,"iaa"
"226","Nd","20160825c1v1",6,"V191",10730,5,"iaa"
"227","Nd","20160825c1v1",6,"V193",10767,9,"iaa"
"228","Nd","20160825c1v1",6,"V195",10799,13,"iaa"
"229","Sd","20160825c1v2",1,"V2",1330,15,"iaa"
"230","Sd","20160825c1v2",1,"V3",1394,41,"iaa"
"231","Sd","20160825c1v2",1,"V4",1433,24,"iaa"
"232","Sd","20160825c1v2",1,"V6",1454,12,"iaa"
"233","Sd","20160825c1v2",1,"V7",1534,78,"iaa"
"234","Sd","20160825c1v2",1,"V8",1542,6,"iaa"
"235","Sd","20160825c1v2",1,"V9",1552,8,"iaa"
"236","Sd","20160825c1v2",1,"V11",1604,45,"iaa"
"237","Sd","20160825c1v2",1,"V13",1625,10,"iaa"
"238","Sd","20160825c1v2",1,"V18",1677,21,"iaa"
"239","Sd","20160825c1v2",1,"V22",1706,13,"iaa"
"240","Sd","20160825c1v2",1,"V25",1731,5,"iaa"
"241","Sd","20160825c1v2",1,"V26",1745,5,"iaa"
"242","Sd","20160825c1v2",1,"V29",1763,5,"iaa"
"243","Sd","20160825c1v2",1,"V38",2564,29,"iaa"
"244","Sd","20160825c1v2",1,"V40",2595,25,"iaa"
"245","Sd","20160825c1v2",1,"V41",2649,52,"iaa"
"246","Sd","20160825c1v2",1,"V43",2661,7,"iaa"
"247","Sd","20160825c1v2",1,"V44",2685,13,"iaa"
"248","Sd","20160825c1v2",1,"V46",2717,27,"iaa"
"249","Sd","20160825c1v2",1,"V49",2735,6,"iaa"
"250","Sd","20160825c1v2",1,"V50",2757,20,"iaa"
"251","Sd","20160825c1v2",1,"V52",2771,9,"iaa"
"252","Sd","20160825c1v2",1,"V53",2788,15,"iaa"
"253","Sd","20160825c1v2",1,"V56",2838,30,"iaa"
"254","Sd","20160825c1v2",1,"V58",2860,8,"iaa"
"255","Sd","20160825c1v2",1,"V63",2889,6,"iaa"
"256","Sd","20160825c1v2",1,"V64",2907,16,"iaa"
"257","Sd","20160825c1v2",1,"V70",2944,7,"iaa"
"258","Sd","20160825c1v2",1,"V72",2968,7,"iaa"
"259","Sd","20160825c1v2",1,"V74",2983,10,"iaa"
"260","Sd","20160825c1v2",1,"V75",3006,21,"iaa"
"261","Sd","20160825c1v2",1,"V77",3032,17,"iaa"
"262","Sd","20160825c1v2",1,"V79",3057,14,"iaa"
"263","Sd","20160825c1v2",1,"V80",3071,11,"iaa"
"264","Sd","20160825c1v2",1,"V81",3083,10,"iaa"
"265","Sd","20160825c1v2",1,"V82",3239,151,"iaa"
"266","Sd","20160825c1v2",1,"V84",3253,7,"iaa"
"267","Sd","20160825c1v2",1,"V85",3261,6,"iaa"
"268","Sd","20160825c1v2",1,"V86",3459,196,"iaa"
"269","Sd","20160825c1v2",1,"V88",3473,5,"iaa"
"270","Sd","20160825c1v2",1,"V89",3484,8,"iaa"
"271","Sd","20160825c1v2",1,"V91",3504,10,"iaa"
"272","Sd","20160825c1v2",1,"V93",3526,14,"iaa"
"273","Sd","20160825c1v2",1,"V94",3546,16,"iaa"
"274","Sd","20160825c1v2",1,"V98",3571,5,"iaa"
"275","Sd","20160825c1v2",1,"V113",4001,112,"iaa"
"276","Sd","20160825c1v2",1,"V114",4057,11,"iaa"
"277","Sd","20160825c1v2",1,"V115",4076,16,"iaa"
"278","Sd","20160825c1v2",1,"V116",4153,9,"iaa"
"279","Sd","20160825c1v2",1,"V118",4227,12,"iaa"
"280","Sd","20160825c1v2",1,"V120",4286,13,"iaa"
"281","Sd","20160825c1v2",1,"V121",4294,6,"iaa"
"282","Sd","20160825c1v2",1,"V122",4347,13,"iaa"
"283","Sd","20160825c1v2",1,"V123",4368,5,"iaa"
"284","Sd","20160825c1v2",1,"V124",4493,118,"iaa"
"285","Sd","20160825c1v2",1,"V126",4881,6,"iaa"
"286","Sd","20160825c1v2",1,"V130",5305,5,"iaa"
"287","Sd","20160825c1v2",1,"V132",10798,4731,"iaa"
"288","Sd","20160825c1v2",2,"V6",1373,11,"iaa"
"289","Sd","20160825c1v2",2,"V7",1401,9,"iaa"
"290","Sd","20160825c1v2",2,"V8",1471,54,"iaa"
"291","Sd","20160825c1v2",2,"V10",1528,52,"iaa"
"292","Sd","20160825c1v2",2,"V11",1540,10,"iaa"
"293","Sd","20160825c1v2",2,"V13",1749,13,"iaa"
"294","Sd","20160825c1v2",2,"V14",1788,27,"iaa"
"295","Sd","20160825c1v2",2,"V17",2097,6,"iaa"
"296","Sd","20160825c1v2",2,"V20",2120,8,"iaa"
"297","Sd","20160825c1v2",2,"V22",2153,8,"iaa"
"298","Sd","20160825c1v2",2,"V23",2164,9,"iaa"
"299","Sd","20160825c1v2",2,"V24",2171,5,"iaa"
"300","Sd","20160825c1v2",2,"V25",2182,7,"iaa"
"301","Sd","20160825c1v2",2,"V32",2240,6,"iaa"
"302","Sd","20160825c1v2",2,"V34",2443,72,"iaa"
"303","Sd","20160825c1v2",2,"V48",3318,7,"iaa"
"304","Sd","20160825c1v2",2,"V49",3339,6,"iaa"
"305","Sd","20160825c1v2",2,"V53",3610,10,"iaa"
"306","Sd","20160825c1v2",2,"V55",3650,5,"iaa"
"307","Sd","20160825c1v2",2,"V58",3830,7,"iaa"
"308","Sd","20160825c1v2",2,"V59",3856,19,"iaa"
"309","Sd","20160825c1v2",2,"V60",3884,12,"iaa"
"310","Sd","20160825c1v2",2,"V64",4072,10,"iaa"
"311","Sd","20160825c1v2",2,"V65",4161,9,"iaa"
"312","Sd","20160825c1v2",2,"V67",4213,15,"iaa"
"313","Sd","20160825c1v2",2,"V73",4565,41,"iaa"
"314","Sd","20160825c1v2",2,"V74",4583,11,"iaa"
"315","Sd","20160825c1v2",2,"V76",4597,7,"iaa"
"316","Sd","20160825c1v2",2,"V77",4607,6,"iaa"
"317","Sd","20160825c1v2",2,"V78",4622,13,"iaa"
"318","Sd","20160825c1v2",2,"V85",4956,5,"iaa"
"319","Sd","20160825c1v2",2,"V87",4972,9,"iaa"
"320","Sd","20160825c1v2",2,"V96",5020,8,"iaa"
"321","Sd","20160825c1v2",2,"V100",5064,5,"iaa"
"322","Sd","20160825c1v2",2,"V101",5103,7,"iaa"
"323","Sd","20160825c1v2",2,"V104",5157,16,"iaa"
"324","Sd","20160825c1v2",2,"V107",5209,5,"iaa"
"325","Sd","20160825c1v2",2,"V108",5235,7,"iaa"
"326","Sd","20160825c1v2",2,"V111",5286,10,"iaa"
"327","Sd","20160825c1v2",2,"V116",5322,7,"iaa"
"328","Sd","20160825c1v2",2,"V118",5354,10,"iaa"
"329","Sd","20160825c1v2",2,"V120",5389,18,"iaa"
"330","Sd","20160825c1v2",2,"V122",5411,13,"iaa"
"331","Sd","20160825c1v2",2,"V126",5434,9,"iaa"
"332","Sd","20160825c1v2",2,"V127",5444,8,"iaa"
"333","Sd","20160825c1v2",2,"V130",5465,6,"iaa"
"334","Sd","20160825c1v2",2,"V134",5510,18,"iaa"
"335","Sd","20160825c1v2",2,"V135",5518,5,"iaa"
"336","Sd","20160825c1v2",2,"V139",5619,11,"iaa"
"337","Sd","20160825c1v2",2,"V140",5662,6,"iaa"
"338","Sd","20160825c1v2",2,"V142",5706,6,"iaa"
"339","Sd","20160825c1v2",2,"V143",5718,9,"iaa"
"340","Sd","20160825c1v2",2,"V144",5732,11,"iaa"
"341","Sd","20160825c1v2",2,"V145",5758,21,"iaa"
"342","Sd","20160825c1v2",2,"V146",5767,7,"iaa"
"343","Sd","20160825c1v2",2,"V151",5818,9,"iaa"
"344","Sd","20160825c1v2",2,"V155",5861,10,"iaa"
"345","Sd","20160825c1v2",2,"V158",5897,6,"iaa"
"346","Sd","20160825c1v2",2,"V161",5917,10,"iaa"
"347","Sd","20160825c1v2",2,"V162",5930,6,"iaa"
"348","Sd","20160825c1v2",2,"V164",5947,11,"iaa"
"349","Sd","20160825c1v2",2,"V166",5975,11,"iaa"
"350","Sd","20160825c1v2",2,"V169",6005,6,"iaa"
"351","Sd","20160825c1v2",2,"V174",6132,21,"iaa"
"352","Sd","20160825c1v2",2,"V175",6157,9,"iaa"
"353","Sd","20160825c1v2",2,"V176",6167,7,"iaa"
"354","Sd","20160825c1v2",2,"V182",6500,7,"iaa"
"355","Sd","20160825c1v2",2,"V183",6512,7,"iaa"
"356","Sd","20160825c1v2",2,"V184",6539,13,"iaa"
"357","Sd","20160825c1v2",2,"V187",6568,8,"iaa"
"358","Sd","20160825c1v2",2,"V189",6589,13,"iaa"
"359","Sd","20160825c1v2",2,"V192",6620,8,"iaa"
"360","Sd","20160825c1v2",2,"V193",6651,23,"iaa"
"361","Sd","20160825c1v2",2,"V194",6663,7,"iaa"
"362","Sd","20160825c1v2",2,"V196",6697,17,"iaa"
"363","Sd","20160825c1v2",2,"V198",6713,10,"iaa"
"364","Sd","20160825c1v2",2,"V203",6736,7,"iaa"
"365","Sd","20160825c1v2",2,"V207",6786,19,"iaa"
"366","Sd","20160825c1v2",2,"V210",6799,5,"iaa"
"367","Sd","20160825c1v2",2,"V212",6817,6,"iaa"
"368","Sd","20160825c1v2",2,"V213",6848,29,"iaa"
"369","Sd","20160825c1v2",2,"V216",6879,20,"iaa"
"370","Sd","20160825c1v2",2,"V218",6895,10,"iaa"
"371","Sd","20160825c1v2",2,"V220",6908,7,"iaa"
"372","Sd","20160825c1v2",2,"V225",6957,28,"iaa"
"373","Sd","20160825c1v2",2,"V226",6972,10,"iaa"
"374","Sd","20160825c1v2",2,"V227",6982,7,"iaa"
"375","Sd","20160825c1v2",2,"V229",7002,7,"iaa"
"376","Sd","20160825c1v2",2,"V234",7064,5,"iaa"
"377","Sd","20160825c1v2",2,"V236",7079,7,"iaa"
"378","Sd","20160825c1v2",2,"V239",7107,7,"iaa"
"379","Sd","20160825c1v2",2,"V242",7138,9,"iaa"
"380","Sd","20160825c1v2",2,"V243",7155,8,"iaa"
"381","Sd","20160825c1v2",2,"V248",7214,5,"iaa"
"382","Sd","20160825c1v2",2,"V251",7236,5,"iaa"
"383","Sd","20160825c1v2",2,"V255",7386,5,"iaa"
"384","Sd","20160825c1v2",2,"V256",7400,5,"iaa"
"385","Sd","20160825c1v2",2,"V259",7427,9,"iaa"
"386","Sd","20160825c1v2",2,"V269",7955,5,"iaa"
"387","Sd","20160825c1v2",2,"V282",9083,8,"iaa"
"388","Sd","20160825c1v2",3,"V2",1330,15,"iaa"
"389","Sd","20160825c1v2",3,"V3",1394,41,"iaa"
"390","Sd","20160825c1v2",3,"V4",1433,24,"iaa"
"391","Sd","20160825c1v2",3,"V6",1454,12,"iaa"
"392","Sd","20160825c1v2",3,"V7",1534,78,"iaa"
"393","Sd","20160825c1v2",3,"V8",1542,6,"iaa"
"394","Sd","20160825c1v2",3,"V9",1552,8,"iaa"
"395","Sd","20160825c1v2",3,"V11",1604,45,"iaa"
"396","Sd","20160825c1v2",3,"V13",1625,10,"iaa"
"397","Sd","20160825c1v2",3,"V18",1677,21,"iaa"
"398","Sd","20160825c1v2",3,"V22",1706,13,"iaa"
"399","Sd","20160825c1v2",3,"V25",1731,5,"iaa"
"400","Sd","20160825c1v2",3,"V26",1745,5,"iaa"
"401","Sd","20160825c1v2",3,"V29",1763,5,"iaa"
"402","Sd","20160825c1v2",3,"V38",2564,29,"iaa"
"403","Sd","20160825c1v2",3,"V40",2595,25,"iaa"
"404","Sd","20160825c1v2",3,"V41",2649,52,"iaa"
"405","Sd","20160825c1v2",3,"V43",2661,7,"iaa"
"406","Sd","20160825c1v2",3,"V44",2685,13,"iaa"
"407","Sd","20160825c1v2",3,"V46",2717,27,"iaa"
"408","Sd","20160825c1v2",3,"V49",2735,6,"iaa"
"409","Sd","20160825c1v2",3,"V50",2757,20,"iaa"
"410","Sd","20160825c1v2",3,"V52",2771,9,"iaa"
"411","Sd","20160825c1v2",3,"V53",2788,15,"iaa"
"412","Sd","20160825c1v2",3,"V56",2838,30,"iaa"
"413","Sd","20160825c1v2",3,"V58",2860,8,"iaa"
"414","Sd","20160825c1v2",3,"V63",2889,6,"iaa"
"415","Sd","20160825c1v2",3,"V64",2907,16,"iaa"
"416","Sd","20160825c1v2",3,"V70",2944,7,"iaa"
"417","Sd","20160825c1v2",3,"V72",2968,7,"iaa"
"418","Sd","20160825c1v2",3,"V74",2983,10,"iaa"
"419","Sd","20160825c1v2",3,"V75",3006,21,"iaa"
"420","Sd","20160825c1v2",3,"V77",3032,17,"iaa"
"421","Sd","20160825c1v2",3,"V79",3057,14,"iaa"
"422","Sd","20160825c1v2",3,"V80",3071,11,"iaa"
"423","Sd","20160825c1v2",3,"V81",3083,10,"iaa"
"424","Sd","20160825c1v2",3,"V82",3239,151,"iaa"
"425","Sd","20160825c1v2",3,"V84",3253,7,"iaa"
"426","Sd","20160825c1v2",3,"V85",3261,6,"iaa"
"427","Sd","20160825c1v2",3,"V86",3459,196,"iaa"
"428","Sd","20160825c1v2",3,"V88",3473,5,"iaa"
"429","Sd","20160825c1v2",3,"V89",3484,8,"iaa"
"430","Sd","20160825c1v2",3,"V91",3504,10,"iaa"
"431","Sd","20160825c1v2",3,"V93",3526,14,"iaa"
"432","Sd","20160825c1v2",3,"V94",3546,16,"iaa"
"433","Sd","20160825c1v2",3,"V98",3571,5,"iaa"
"434","Sd","20160825c1v2",3,"V113",4001,112,"iaa"
"435","Sd","20160825c1v2",3,"V114",4057,11,"iaa"
"436","Sd","20160825c1v2",3,"V115",4076,16,"iaa"
"437","Sd","20160825c1v2",3,"V116",4153,9,"iaa"
